"","Name","Team","Height"
"139","Jerzy Adamski","Poland",171
"140","Simon Addo","Ghana",180
"141","Olubayo Adefemi","Nigeria",181
"142","Ayodele ""Dele"" Adeleye","Nigeria",190
"143","Ademir Roque Kaefer","Brazil",179
"144","Ademir Roque Kaefer","Brazil",179
"145","Olapade Charles Adeniken","Nigeria",186
"146","Adenzia Aparecida Ferreira da Silva","Brazil",187
"147","Franck Adisson","France-1",180
"148","Franck Adisson","France-1",180
"149","Richard ""Richy""  Adjei","Germany-2",190
"150","Derrick Ralph Adkins","United States",188
"151","Daniel Adler","Brazil",180
"152","Egon Adler","Germany",172
"153","Rebecca ""Becky"" Adlington","Great Britain",179
"154","Rebecca ""Becky"" Adlington","Great Britain",179
"155","Rebecca ""Becky"" Adlington","Great Britain",179
"156","Rebecca ""Becky"" Adlington","Great Britain",179
"157","Dainius Adomaitis","Lithuania",202
"158","Nathan Ghar-Jun Adrian","United States",198
"159","Nathan Ghar-Jun Adrian","United States",198
"160","Nathan Ghar-Jun Adrian","United States",198
"161","Nathan Ghar-Jun Adrian","United States",198
"162","Nathan Ghar-Jun Adrian","United States",198
"163","Nathan Ghar-Jun Adrian","United States",198
"164","Nathan Ghar-Jun Adrian","United States",198
"165","Nathan Ghar-Jun Adrian","United States",198
"166","Adriana Aparecida dos Santos","Brazil",180
"167","Adriana Aparecida dos Santos","Brazil",180
"168","Adriana ""Adrianinha"" Moiss Pinto","Brazil",170
"169","Attila Adrovicz","Hungary",189
"170","Klaus Aeffke","Germany",189
"171","Kseniya Dmitriyevna Afanasyeva","Russia",158
"172","Maksim Sergeyevich Afinogenov","Russia",183
"173","Olabisi ""Bisi"" Afolabi","Nigeria",180
"174","Felicia Afrsiloaie (-Jitianu)","Romania",178
"175","Cecil Sebastian Afrika","South Africa",175
"176","Muhammad Afzal Manna","Pakistan",173
"177","Timothy Ernest Victor Kwizera ""Tim"" Agaba","South Africa",193
"178","Lavinia Agache (-Carney)","Romania",148
"179","Lavinia Agache (-Carney)","Romania",148
"180","Luca Agamennoni","Italy",187
"181","Luca Agamennoni","Italy",187
"182","Andre Kirk Agassi","United States",180
"183","Clarisse Agbegnenou","France",164
"184","Viktor Ivanovich Ageyev","Soviet Union",184
"185","Viktor Ivanovich Ageyev","Soviet Union",184
"186","Viktor Ivanovich Ageyev","Soviet Union",184
"187","Marilyn Agliotti","Netherlands",172
"188","Marilyn Agliotti","Netherlands",172
"189","Yannick Agnel","France",202
"190","Yannick Agnel","France",202
"191","Yannick Agnel","France",202
"192","Meghan Christina Agosta (-Marciano)","Canada",168
"193","Meghan Christina Agosta (-Marciano)","Canada",168
"194","Meghan Christina Agosta (-Marciano)","Canada",168
"195","Benjamin Alexandro ""Ben"" Agosto","United States-1",178
"196","Judit goston-Mendelnyi","Hungary",164
"197","Sergio Leonel Agero del Castillo","Argentina",172
"198","Taismary ""Tai"" Agero Leiva (-Botteghi)","Cuba",175
"199","Jos Aguilar Pulsn","Cuba",173
"200","Macarena Aguilar Daz","Spain",170
"201","Sandra Aguilar Navarro","Spain",167
"202","Jorge Luis Aguilera Ruiz","Cuba",172
"203","Sri Wahyuni Agustiani","Indonesia",147
"204","Robyn Mokihana Ah Mow-Santos","United States",172
"205","Kevin Joseph Ahearn","United States",175
"206","Timothy Joseph ""Tim"" Ahearne","Great Britain",170
"207","Bruno Valfrid Ahlberg","Finland",168
"208","Mats Bertil hlberg","Sweden",179
"209","Annica Gunilla hln","Sweden",177
"210","Thomas Valter hln","Sweden",182
"211","Christian Ahlmann","Germany",189
"212","Christian Ahlmann","Germany",189
"213","Tontowi Ahmad","Indonesia-1",179
